time,flag_id,flag_x,flag_y,flag_z,o_x,o_y,o_z,target_dir_x,target_dir_y,target_dir_z,gaze_dir_x,gaze_dir_y,gaze_dir_z,err_deg
2.006653,0,-5.7,-0.43,18.78,0.03371241,2.996444,0.01121452,-0.2878091,-0.1719936,0.9421168,0.04896664,-0.1001791,0.9937637,20.05254
2.028442,0,-5.7,-0.43,18.78,0.03598049,2.996764,0.0123321,-0.2879279,-0.1720126,0.942077,0.04857943,-0.1008198,0.993718,20.02992
2.045532,0,-5.7,-0.43,18.78,0.03699662,2.996764,0.0123321,-0.2879747,-0.1720101,0.9420632,0.04857943,-0.1008198,0.993718,20.03266
2.062561,0,-5.7,-0.43,18.78,0.03848214,2.997174,0.01352942,-0.2880583,-0.1720361,0.9420329,0.04800947,-0.1056097,0.9932481,19.94651
2.084045,0,-5.7,-0.43,18.78,0.0408586,2.997174,0.01352942,-0.2881677,-0.1720302,0.9420005,0.04800947,-0.1056097,0.9932481,19.9529
2.101196,0,-5.7,-0.43,18.78,0.04210419,2.997598,0.01478559,-0.2882411,-0.172058,0.9419729,0.04539193,-0.1053966,0.9933938,19.81357
2.118225,0,-5.7,-0.43,18.78,0.04325549,2.997598,0.01478559,-0.2882941,-0.1720551,0.9419574,0.04539193,-0.1053966,0.9933938,19.81664
2.139954,0,-5.7,-0.43,18.78,0.04578941,2.997992,0.01606008,-0.2884271,-0.1720784,0.9419123,0.04682581,-0.1067372,0.993184,19.88897
2.157349,0,-5.7,-0.43,18.78,0.04668352,2.997992,0.01606008,-0.2884683,-0.1720761,0.9419001,0.04682581,-0.1067372,0.993184,19.89138
2.173706,0,-5.7,-0.43,18.78,0.04810555,2.998358,0.01728916,-0.2885496,-0.1721004,0.9418707,0.04840225,-0.1106055,0.9926851,19.94007
2.195496,0,-5.7,-0.43,18.78,0.05044599,2.998686,0.01830775,-0.2886704,-0.1721188,0.9418303,0.04871295,-0.111034,0.9926221,19.96009
2.212646,0,-5.7,-0.43,18.78,0.05152924,2.998686,0.01830775,-0.2887202,-0.1721161,0.9418156,0.04871295,-0.111034,0.9926221,19.96301
2.229553,0,-5.7,-0.43,18.78,0.05236394,2.999035,0.01944391,-0.2887732,-0.1721403,0.9417949,0.03463633,-0.1062081,0.9937405,19.23411
2.25116,0,-5.7,-0.43,18.78,0.05440901,2.999035,0.01944391,-0.2888674,-0.1721352,0.941767,0.03463633,-0.1062081,0.9937405,19.2396
2.268372,0,-5.7,-0.43,18.78,0.05540523,2.999348,0.02055103,-0.2889275,-0.172157,0.9417446,-0.001159479,-0.09773645,0.9952117,17.37011
2.285156,0,-5.7,-0.43,18.78,0.05632889,2.999348,0.02055103,-0.28897,-0.1721547,0.9417319,-0.001159479,-0.09773645,0.9952117,17.37256
2.306824,0,-5.7,-0.43,18.78,0.05844534,2.999656,0.02162194,-0.2890813,-0.1721731,0.9416944,-0.003705529,-0.09166782,0.9957827,17.33538
2.324768,0,-5.7,-0.43,18.78,0.05905523,2.999656,0.02162194,-0.2891093,-0.1721716,0.9416862,-0.003705529,-0.09166782,0.9957827,17.33698
2.340881,0,-5.7,-0.43,18.78,0.05983015,3.000011,0.02265602,-0.2891582,-0.1721953,0.9416668,-0.003373478,-0.09540853,0.9954325,17.29821
2.362549,0,-5.7,-0.43,18.78,0.06184994,3.000412,0.02368794,-0.2892643,-0.1722182,0.9416301,-0.004289881,-0.1009998,0.9948772,17.16842
2.380188,0,-5.7,-0.43,18.78,0.06239028,3.000412,0.02368794,-0.2892891,-0.1722168,0.9416227,-0.004289881,-0.1009998,0.9948772,17.16987
2.396729,0,-5.7,-0.43,18.78,0.06325205,3.000697,0.02460714,-0.2893406,-0.1722361,0.9416033,-0.003570589,-0.1083284,0.9941087,17.10892
2.418457,0,-5.7,-0.43,18.78,0.06491501,3.000697,0.02460714,-0.2894171,-0.1722319,0.9415805,-0.003570589,-0.1083284,0.9941087,17.11336
2.435486,0,-5.7,-0.43,18.78,0.06577849,3.00092,0.02540595,-0.2894672,-0.1722471,0.9415624,-0.007966872,-0.1022511,0.9947268,16.95857
2.452209,0,-5.7,-0.43,18.78,0.0662394,3.00092,0.02540595,-0.2894884,-0.172246,0.941556,-0.007966872,-0.1022511,0.9947268,16.95979
2.47406,0,-5.7,-0.43,18.78,0.0671289,3.001133,0.02611034,-0.2895384,-0.1722599,0.9415381,-0.008889751,-0.1032189,0.994619,16.89755
2.49176,0,-5.7,-0.43,18.78,0.06767785,3.001133,0.02611034,-0.2895637,-0.1722585,0.9415306,-0.008889751,-0.1032189,0.994619,16.89898
2.507996,0,-5.7,-0.43,18.78,0.06779862,3.001284,0.02677657,-0.289578,-0.172271,0.941524,-0.009114009,-0.09884493,0.9950612,16.9536
2.529663,0,-5.7,-0.43,18.78,0.06725209,3.001386,0.02743033,-0.2895615,-0.1722826,0.9415268,-0.01030453,-0.09633163,0.9952959,16.92672
2.546936,0,-5.7,-0.43,18.78,0.06633867,3.001386,0.02743033,-0.2895195,-0.1722849,0.9415393,-0.01030453,-0.09633163,0.9952959,16.92431
2.563782,0,-5.7,-0.43,18.78,0.06481232,3.001545,0.02799931,-0.2894567,-0.1723011,0.9415557,-0.009954094,-0.09340527,0.9955785,16.98765
2.585388,0,-5.7,-0.43,18.78,0.06166054,3.001545,0.02799931,-0.2893117,-0.172309,0.9415988,-0.009954094,-0.09340527,0.9955785,16.97938
2.603027,0,-5.7,-0.43,18.78,0.05936098,3.001647,0.02852982,-0.2892129,-0.1723241,0.9416264,-0.02450794,-0.09723788,0.9949594,16.11129
2.619995,0,-5.7,-0.43,18.78,0.05642201,3.001647,0.02852982,-0.2890776,-0.1723314,0.9416666,-0.02450794,-0.09723788,0.9949594,16.10356
2.641113,0,-5.7,-0.43,18.78,0.05206092,3.001637,0.02904791,-0.288884,-0.172346,0.9417234,-0.1036578,-0.1034833,0.989215,11.66488
2.659424,0,-5.7,-0.43,18.78,0.05056536,3.001637,0.02904791,-0.2888151,-0.1723498,0.9417438,-0.1036578,-0.1034833,0.989215,11.66108
2.6828,0,-5.7,-0.43,18.78,0.04627445,3.001568,0.02951042,-0.2886241,-0.1723609,0.9418004,-0.25709,-0.1081566,0.9603161,4.234385
2.700378,0,-5.7,-0.43,18.78,0.04380469,3.001346,0.02992903,-0.2885166,-0.1723597,0.9418335,-0.264023,-0.1102805,0.958191,3.93766
2.71698,0,-5.7,-0.43,18.78,0.04203318,3.001346,0.02992903,-0.288435,-0.1723641,0.9418577,-0.264023,-0.1102805,0.958191,3.935869
2.738708,0,-5.7,-0.43,18.78,0.03749509,3.000957,0.03030486,-0.2882321,-0.1723596,0.9419206,-0.2673731,-0.1054647,0.9578041,4.117515
